type,properties/site_id,properties/enhanced_gage,properties/new_gage,properties/reactivated_gage,properties/camera,properties/specific_conductance,properties/temperature,properties/latitude,properties/longitude,properties/flyToCommands/bearing,properties/flyToCommands/center/0,properties/flyToCommands/center/1,properties/flyToCommands/zoom,properties/flyToCommands/pitch,properties/flyToCommands/speed,properties/flyToCommands/curve,properties/flyToCommands/essential,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Feature,USGS-01451500,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,40.5822,-75.4833,350,-75.4833,40.5822,8,90,0.2,1,TRUE,Point,-75.4833,40.5822
Feature,,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,40.57949,-75.5532,350,-75.5532,40.57949,8,90,0.2,1,TRUE,Point,-75.5532,40.57949
Feature,,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,40.57094,-75.6534,350,-75.6534,40.57094,8,90,0.2,1,TRUE,Point,-75.6534,40.57094
Feature,,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,40.53583,-75.5393,350,-75.5393,40.53583,8,90,0.2,1,TRUE,Point,-75.5393,40.53583
Feature,USGS-01451380,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,40.53120755,-75.60046519,350,-75.60046519,40.53120755,8,90,0.2,1,TRUE,Point,-75.60046519,40.53120755
Feature,USGS-01458500,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,40.5261111,-75.065,350,-75.065,40.5261111,8,90,0.2,1,TRUE,Point,-75.065,40.5261111
Feature,USGS-01460860,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,40.516944,-74.991667,350,-74.991667,40.516944,8,90,0.2,1,TRUE,Point,-74.991667,40.516944
Feature,USGS-01462000,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,40.3647222,-74.94888889,350,-74.94888889,40.3647222,8,90,0.2,1,TRUE,Point,-74.94888889,40.3647222
Feature,USGS-01471875,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,40.339538,-75.7421359,350,-75.7421359,40.339538,8,90,0.2,1,TRUE,Point,-75.7421359,40.339538
Feature,USGS-01473000,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,40.22954725,-75.451567,350,-75.451567,40.22954725,8,90,0.2,1,TRUE,Point,-75.451567,40.22954725
Feature,USGS-01463500,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,40.22166667,-74.7780556,350,-74.7780556,40.22166667,8,90,0.2,1,TRUE,Point,-74.7780556,40.22166667
Feature,USGS-01464040,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,40.18916667,-74.7558333,350,-74.7558333,40.18916667,8,90,0.2,1,TRUE,Point,-74.7558333,40.18916667
Feature,USGS-01464040,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,40.18916667,-74.7558333,350,-74.7558333,40.18916667,8,90,0.2,1,TRUE,Point,-74.7558333,40.18916667
Feature,USGS-01465500,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,40.1739982,-74.9568342,350,-74.9568342,40.1739982,8,90,0.2,1,TRUE,Point,-74.9568342,40.1739982
Feature,USGS-01464500,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,40.1372222,-74.6,350,-74.6,40.1372222,8,90,0.2,1,TRUE,Point,-74.6,40.1372222
Feature,USGS-01473470,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,40.12722,-75.3453,350,-75.3453,40.12722,8,90,0.2,1,TRUE,Point,-75.3453,40.12722
Feature,USGS-01464290,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,40.0361111,-74.5361111,350,-74.5361111,40.0361111,8,90,0.2,1,TRUE,Point,-74.5361111,40.0361111
Feature,USGS-01467024,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,40.029167,-74.931667,350,-74.931667,40.029167,8,90,0.2,1,TRUE,Point,-74.931667,40.029167
Feature,USGS-01467087,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,40.0159454,-75.0968411,350,-75.0968411,40.0159454,8,90,0.2,1,TRUE,Point,-75.0968411,40.0159454
Feature,USGS-01467059,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,40.01513889,-75.0176944,350,-75.0176944,40.01513889,8,90,0.2,1,TRUE,Point,-75.0176944,40.01513889
Feature,USGS-01467059,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,40.01513889,-75.0176944,350,-75.0176944,40.01513889,8,90,0.2,1,TRUE,Point,-75.0176944,40.01513889
Feature,USGS-01467005,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,39.99305556,-74.78138889,350,-74.78138889,39.99305556,8,90,0.2,1,TRUE,Point,-74.78138889,39.99305556
Feature,USGS-01467000,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,39.97,-74.6844444,350,-74.6844444,39.97,8,90,0.2,1,TRUE,Point,-74.6844444,39.97
Feature,USGS-01474500,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,39.9678905,-75.1885123,350,-75.1885123,39.9678905,8,90,0.2,1,TRUE,Point,-75.1885123,39.9678905
Feature,USGS-01466900,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,39.9561111,-74.62777778,350,-74.62777778,39.9561111,8,90,0.2,1,TRUE,Point,-74.62777778,39.9561111
Feature,USGS-01467200,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,39.95400165,-75.1373987,350,-75.1373987,39.95400165,8,90,0.2,1,TRUE,Point,-75.1373987,39.95400165
Feature,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39.946042,-75.139832,350,-75.139832,39.946042,8,90,0.2,1,TRUE,Point,-75.139832,39.946042
Feature,USGS-01467081,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,39.94166667,-75.0011111,350,-75.0011111,39.94166667,8,90,0.2,1,TRUE,Point,-75.0011111,39.94166667
Feature,USGS-01465850,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,39.94,-74.7630556,350,-74.7630556,39.94,8,90,0.2,1,TRUE,Point,-74.7630556,39.94
Feature,USGS-01480629,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,39.9295515,-75.82300028,350,-75.82300028,39.9295515,8,90,0.2,1,TRUE,Point,-75.82300028,39.9295515
Feature,USGS-01475510,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,39.92900154,-75.2724064,350,-75.2724064,39.92900154,8,90,0.2,1,TRUE,Point,-75.2724064,39.92900154
Feature,USGS-01467150,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,39.90305556,-75.02138889,350,-75.02138889,39.90305556,8,90,0.2,1,TRUE,Point,-75.02138889,39.90305556
Feature,USGS-01465880,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,39.89527778,-74.8236111,350,-74.8236111,39.89527778,8,90,0.2,1,TRUE,Point,-74.8236111,39.89527778
Feature,USGS-01466500,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,39.885,-74.50527778,350,-74.50527778,39.885,8,90,0.2,1,TRUE,Point,-74.50527778,39.885
Feature,USGS-01474703,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,39.8792798,-75.20268029,350,-75.20268029,39.8792798,8,90,0.2,1,TRUE,Point,-75.20268029,39.8792798
Feature,USGS-01481000,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,39.8698328,-75.5932623,350,-75.5932623,39.8698328,8,90,0.2,1,TRUE,Point,-75.5932623,39.8698328
Feature,USGS-0146587310,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,39.867722,-74.84175,350,-74.84175,39.867722,8,90,0.2,1,TRUE,Point,-74.84175,39.867722
Feature,USGS-01478100,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,39.858651,-75.7833,350,-75.7833,39.858651,8,90,0.2,1,TRUE,Point,-75.7833,39.858651
Feature,USGS-01477050,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,39.84555556,-75.3508333,350,-75.3508333,39.84555556,8,90,0.2,1,TRUE,Point,-75.3508333,39.84555556
Feature,,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,39.8326,-75.8451,350,-75.8451,39.8326,8,90,0.2,1,TRUE,Point,-75.8451,39.8326
Feature,USGS-01478120,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,39.82833,-75.7811,350,-75.7811,39.82833,8,90,0.2,1,TRUE,Point,-75.7811,39.82833
Feature,USGS-01478137,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,39.82177,-75.7791,350,-75.7791,39.82177,8,90,0.2,1,TRUE,Point,-75.7791,39.82177
Feature,USGS-01478220,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,39.76566619,-75.7960492,350,-75.7960492,39.76566619,8,90,0.2,1,TRUE,Point,-75.7960492,39.76566619
Feature,USGS-01480000,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,39.76280556,-75.6365,350,-75.6365,39.76280556,8,90,0.2,1,TRUE,Point,-75.6365,39.76280556
Feature,USGS-01478245,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,39.7475,-75.7708,350,-75.7708,39.7475,8,90,0.2,1,TRUE,Point,-75.7708,39.7475
Feature,USGS-01477120,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,39.74055556,-75.2591667,350,-75.2591667,39.74055556,8,90,0.2,1,TRUE,Point,-75.2591667,39.74055556
Feature,USGS-01478950,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,39.7068861,-75.6950944,350,-75.6950944,39.7068861,8,90,0.2,1,TRUE,Point,-75.6950944,39.7068861
Feature,USGS-01479000,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,39.6992222,-75.67502778,350,-75.67502778,39.6992222,8,90,0.2,1,TRUE,Point,-75.67502778,39.6992222
Feature,USGS-01478650,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,39.6892222,-75.74875,350,-75.74875,39.6892222,8,90,0.2,1,TRUE,Point,-75.74875,39.6892222
Feature,USGS-01478650,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,39.6892222,-75.74875,350,-75.74875,39.6892222,8,90,0.2,1,TRUE,Point,-75.74875,39.6892222
Feature,USGS-01482100,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,39.68848,-75.52,350,-75.52,39.68848,8,90,0.2,1,TRUE,Point,-75.52,39.68848
Feature,USGS-01477070,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,39.6861111,-75.1844444,350,-75.1844444,39.6861111,8,90,0.2,1,TRUE,Point,-75.1844444,39.6861111
Feature,USGS-01478000,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,39.63738889,-75.72788889,350,-75.72788889,39.63738889,8,90,0.2,1,TRUE,Point,-75.72788889,39.63738889
Feature,USGS-01482695,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,39.55405556,-75.61888889,350,-75.61888889,39.55405556,8,90,0.2,1,TRUE,Point,-75.61888889,39.55405556
Feature,USGS-01483050,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,39.5086111,-75.4605556,350,-75.4605556,39.5086111,8,90,0.2,1,TRUE,Point,-75.4605556,39.5086111
Feature,USGS-01483050,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,39.5086111,-75.4605556,350,-75.4605556,39.5086111,8,90,0.2,1,TRUE,Point,-75.4605556,39.5086111
Feature,USGS-01412000,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,39.41916667,-74.9658333,350,-74.9658333,39.41916667,8,90,0.2,1,TRUE,Point,-74.9658333,39.41916667
Feature,USGS-01412080,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,39.37305556,-74.9447222,350,-74.9447222,39.37305556,8,90,0.2,1,TRUE,Point,-74.9447222,39.37305556
Feature,USGS-01484100,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,38.90577778,-75.51275,350,-75.51275,38.90577778,8,90,0.2,1,TRUE,Point,-75.51275,38.90577778
Feature,USGS-01423910,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,350,,,8,90,0.2,1,TRUE,Point,,
Feature,USGS-01365550,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,350,,,8,90,0.2,1,TRUE,Point,,
